number,house_id,datetime,energy_import
1,73,2020-08-01 00:00:00,0.22055544437693386
2,73,2020-08-01 01:00:00,0.2039879088811095
3,73,2020-08-01 02:00:00,0.17504326791806232
4,73,2020-08-01 03:00:00,0.13215705224077778
5,73,2020-08-01 04:00:00,0.15352161649440976
6,73,2020-08-01 05:00:00,0.10763641271389905
7,73,2020-08-01 06:00:00,0.1344390935174201
8,73,2020-08-01 07:00:00,0.05946531869858112
9,73,2020-08-01 08:00:00,0.267
10,73,2020-08-01 09:00:00,0.1385310606193635
11,73,2020-08-01 10:00:00,0.10675993504005998
12,73,2020-08-01 11:00:00,0.022414832074583942
13,73,2020-08-01 12:00:00,0.05927514086974589
14,73,2020-08-01 13:00:00,0.13352609244863953
15,73,2020-08-01 14:00:00,0.014247289452618696
16,73,2020-08-01 15:00:00,0.022236650522180042
17,73,2020-08-01 16:00:00,0.12717561372662178
18,73,2020-08-01 17:00:00,0.1318279937191997
19,73,2020-08-01 18:00:00,0.19471592938768614
20,73,2020-08-01 19:00:00,0.2501526194599303
21,73,2020-08-01 20:00:00,0.34286211418829954
22,73,2020-08-01 21:00:00,0.27254627547714655
23,73,2020-08-01 22:00:00,0.25045164615525395
24,73,2020-08-01 23:00:00,0.2755203624664684
25,73,2020-08-02 00:00:00,0.416
26,73,2020-08-02 01:00:00,0.403
27,73,2020-08-02 02:00:00,0.1974311348680115
28,73,2020-08-02 03:00:00,0.33751779706944185
29,73,2020-08-02 04:00:00,0.1856865927382491
30,73,2020-08-02 05:00:00,0.14634187463829024
31,73,2020-08-02 06:00:00,0.11582896522238635
32,73,2020-08-02 07:00:00,0.12498812599637925
33,73,2020-08-02 08:00:00,0.04995302435427971
34,73,2020-08-02 09:00:00,0.007490925533288048
35,73,2020-08-02 10:00:00,0.05203198890183744
36,73,2020-08-02 11:00:00,0.005989622112873712
37,73,2020-08-02 12:00:00,0.0679487035707943
38,73,2020-08-02 13:00:00,0.1496622072876535
39,73,2020-08-02 14:00:00,0.10661624486196915
40,73,2020-08-02 15:00:00,0.32369540515426815
41,73,2020-08-02 16:00:00,0.177428703442112
42,73,2020-08-02 17:00:00,0.16942763281741582
43,73,2020-08-02 18:00:00,0.197102464096412
44,73,2020-08-02 19:00:00,0.2934001088703277
45,73,2020-08-02 20:00:00,0.28499314996146163
46,73,2020-08-02 21:00:00,0.20430465259105823
47,73,2020-08-02 22:00:00,0.2707621352017838
48,73,2020-08-02 23:00:00,0.27402230841413405
49,73,2020-08-03 00:00:00,0.18346847963025198
50,73,2020-08-03 01:00:00,0.12954769092572738
51,73,2020-08-03 02:00:00,0.147061048311296
52,73,2020-08-03 03:00:00,0.1688181773642101
53,73,2020-08-03 04:00:00,0.09373852619102083
54,73,2020-08-03 05:00:00,0.14252603555905516
55,73,2020-08-03 06:00:00,0.11988023379145828
56,73,2020-08-03 07:00:00,0.12427308556700915
57,73,2020-08-03 08:00:00,0.1464182308384693
58,73,2020-08-03 09:00:00,0.18955768005528165
59,73,2020-08-03 10:00:00,0.025072385108252004
60,73,2020-08-03 11:00:00,0.09349041527615234
61,73,2020-08-03 12:00:00,0.020796428024837228
62,73,2020-08-03 13:00:00,0.3041915365883429
63,73,2020-08-03 14:00:00,0.08934213258942318
64,73,2020-08-03 15:00:00,0.12502076470004952
65,73,2020-08-03 16:00:00,0.12264400877792148
66,73,2020-08-03 17:00:00,0.21016473960858387
67,73,2020-08-03 18:00:00,0.3047075106326208
68,73,2020-08-03 19:00:00,0.24273760017468762
69,73,2020-08-03 20:00:00,0.32371231921505994
70,73,2020-08-03 21:00:00,0.20979743303490322
71,73,2020-08-03 22:00:00,0.231738309262257
72,73,2020-08-03 23:00:00,0.29142474985613326
73,73,2020-08-04 00:00:00,0.3752423764143758
74,73,2020-08-04 01:00:00,0.22392696563367087
75,73,2020-08-04 02:00:00,0.172341815330467
76,73,2020-08-04 03:00:00,0.1625210375045241
77,73,2020-08-04 04:00:00,0.1220534176421493
78,73,2020-08-04 05:00:00,0.14781623246619327
79,73,2020-08-04 06:00:00,0.09716145490504817
80,73,2020-08-04 07:00:00,0.09727869539217202
81,73,2020-08-04 08:00:00,0.08861163189126908
82,73,2020-08-04 09:00:00,0.06015310017716969
83,73,2020-08-04 10:00:00,0.03546676255489591
84,73,2020-08-04 11:00:00,0.08078624970591596
85,73,2020-08-04 12:00:00,0.18489988967996782
86,73,2020-08-04 13:00:00,0.4233971838908349
87,73,2020-08-04 14:00:00,0.39448265677261074
88,73,2020-08-04 15:00:00,0.12705324975029608
89,73,2020-08-04 16:00:00,0.14433038456526368
90,73,2020-08-04 17:00:00,0.215641239568352
91,73,2020-08-04 18:00:00,0.26281892583614724
92,73,2020-08-04 19:00:00,0.2581876835639417
93,73,2020-08-04 20:00:00,0.40171796422280837
94,73,2020-08-04 21:00:00,0.32823981999755975
95,73,2020-08-04 22:00:00,0.32062251784167345
96,73,2020-08-04 23:00:00,0.23374692105574893
97,73,2020-08-05 00:00:00,0.21266701551306655
98,73,2020-08-05 01:00:00,0.253478622971302
99,73,2020-08-05 02:00:00,0.053844410660876245
100,73,2020-08-05 03:00:00,0.18013996629609294
101,73,2020-08-05 04:00:00,0.17549623669427827
102,73,2020-08-05 05:00:00,0.08935616858830327
103,73,2020-08-05 06:00:00,0.1405632458949651
