number,house_id,datetime,energy_export
1,49,2021-07-01 00:00:00,0.16967446334855615
2,49,2021-07-01 01:00:00,0.17453367468496472
3,49,2021-07-01 02:00:00,0.15541736621898836
4,49,2021-07-01 03:00:00,0.14422266214861745
5,49,2021-07-01 04:00:00,0.1613039073913348
6,49,2021-07-01 05:00:00,0.17021993823004294
7,49,2021-07-01 06:00:00,0.18120881983052492
8,49,2021-07-01 07:00:00,0.22760980269842293
9,49,2021-07-01 08:00:00,0.2707653502139623
10,49,2021-07-01 09:00:00,0.8263368461968504
11,49,2021-07-01 10:00:00,0.26056392945330653
12,49,2021-07-01 11:00:00,0.3474859925592196
13,49,2021-07-01 12:00:00,0.16881929127379278
14,49,2021-07-01 13:00:00,1.5975259590320874
15,49,2021-07-01 14:00:00,0.8843608282962074
16,49,2021-07-01 15:00:00,0.18937471909648387
17,49,2021-07-01 16:00:00,0.15628176460626975
18,49,2021-07-01 17:00:00,0.17655814524053123
19,49,2021-07-01 18:00:00,0.29391384295071726
20,49,2021-07-01 19:00:00,0.38093526062368194
21,49,2021-07-01 20:00:00,0.6445120842037383
22,49,2021-07-01 21:00:00,0.38881560696810835
23,49,2021-07-01 22:00:00,0.21884752051062234
24,49,2021-07-01 23:00:00,0.12793439329507464
25,49,2021-07-02 00:00:00,0.13878436395113694
26,49,2021-07-02 01:00:00,0.13945547886684534
27,49,2021-07-02 02:00:00,0.11923115031789205
28,49,2021-07-02 03:00:00,0.12214088098921619
29,49,2021-07-02 04:00:00,0.12400220694049012
30,49,2021-07-02 05:00:00,0.1143516257889287
31,49,2021-07-02 06:00:00,0.11043321080353793
32,49,2021-07-02 07:00:00,0.16089052669801274
33,49,2021-07-02 08:00:00,0.19334523280112015
34,49,2021-07-02 09:00:00,0.2725701650888329
35,49,2021-07-02 10:00:00,0.27407979423982337
36,49,2021-07-02 11:00:00,0.25756599697678073
37,49,2021-07-02 12:00:00,0.16587160321945746
38,49,2021-07-02 13:00:00,0.276850317041632
39,49,2021-07-02 14:00:00,0.15462651526665427
40,49,2021-07-02 15:00:00,0.1489281715318106
41,49,2021-07-02 16:00:00,0.3998038232281619
42,49,2021-07-02 17:00:00,0.22907590647872708
43,49,2021-07-02 18:00:00,0.22595279146040037
44,49,2021-07-02 19:00:00,0.2677726796905255
45,49,2021-07-02 20:00:00,0.37867340027912844
46,49,2021-07-02 21:00:00,0.3236390160613947
47,49,2021-07-02 22:00:00,0.35284580764453566
48,49,2021-07-02 23:00:00,0.2077052647752525
49,49,2021-07-03 00:00:00,0.13772774911643207
50,49,2021-07-03 01:00:00,0.09537389481917079
51,49,2021-07-03 02:00:00,0.11283302874826491
52,49,2021-07-03 03:00:00,0.09654189711714353
53,49,2021-07-03 04:00:00,0.09847992354655971
54,49,2021-07-03 05:00:00,0.1310807828969549
55,49,2021-07-03 06:00:00,0.1530558762307323
56,49,2021-07-03 07:00:00,0.21437352891327432
57,49,2021-07-03 08:00:00,0.14458323512823915
58,49,2021-07-03 09:00:00,0.25450820597386575
59,49,2021-07-03 10:00:00,0.251684561851711
60,49,2021-07-03 11:00:00,0.26989738881234976
61,49,2021-07-03 12:00:00,0.28597700868256604
62,49,2021-07-03 13:00:00,0.12715481073001864
63,49,2021-07-03 14:00:00,0.17635627144604177
64,49,2021-07-03 15:00:00,0.15529661935759048
65,49,2021-07-03 16:00:00,0.20654082277918845
66,49,2021-07-03 17:00:00,0.2060395522304519
67,49,2021-07-03 18:00:00,0.26930608059754874
68,49,2021-07-03 19:00:00,0.2978303307450516
69,49,2021-07-03 20:00:00,0.23137234039553056
70,49,2021-07-03 21:00:00,0.19115686704966306
71,49,2021-07-03 22:00:00,0.31615271872052625
72,49,2021-07-03 23:00:00,0.27729065644398954
73,49,2021-07-04 00:00:00,0.14171276095417487
74,49,2021-07-04 01:00:00,0.12338883716698837
75,49,2021-07-04 02:00:00,0.13832088471762383
76,49,2021-07-04 03:00:00,0.12201788811906829
77,49,2021-07-04 04:00:00,0.09816655621808829
78,49,2021-07-04 05:00:00,0.09666372283740426
79,49,2021-07-04 06:00:00,0.11699860692244336
80,49,2021-07-04 07:00:00,0.17395802759865778
81,49,2021-07-04 08:00:00,0.20199328315636064
82,49,2021-07-04 09:00:00,0.12324200547299435
83,49,2021-07-04 10:00:00,0.32660506379108845
84,49,2021-07-04 11:00:00,0.34868057240614336
85,49,2021-07-04 12:00:00,0.2406201943635017
86,49,2021-07-04 13:00:00,1.4981849260600304
87,49,2021-07-04 14:00:00,0.2783948391017369
88,49,2021-07-04 15:00:00,0.3286156289147331
89,49,2021-07-04 16:00:00,0.27432623280217844
90,49,2021-07-04 17:00:00,0.19434806629199378
91,49,2021-07-04 18:00:00,0.2525485308928403
92,49,2021-07-04 19:00:00,0.21493491248122806
93,49,2021-07-04 20:00:00,0.265038498922371
94,49,2021-07-04 21:00:00,0.1867570867440089
95,49,2021-07-04 22:00:00,0.15524594343428902
96,49,2021-07-04 23:00:00,0.22862448412484432
97,49,2021-07-05 00:00:00,0.29294215754318
98,49,2021-07-05 01:00:00,0.15544180798506196
99,49,2021-07-05 02:00:00,0.16069135786442076
100,49,2021-07-05 03:00:00,0.17503037792787943
101,49,2021-07-05 04:00:00,0.163325074566277
102,49,2021-07-05 05:00:00,0.16645629104768722
103,49,2021-07-05 06:00:00,0.22252444017005452
104,49,2021-07-05 07:00:00,0.2111525902400211
105,49,2021-07-05 08:00:00,0.1585771796914768
106,49,2021-07-05 09:00:00,0.2327488458148227
107,49,2021-07-05 10:00:00,0.1396050404398671
108,49,2021-07-05 11:00:00,0.43397438054214876
109,49,2021-07-05 12:00:00,0.6802607270516029
110,49,2021-07-05 13:00:00,0.5405101469333433
111,49,2021-07-05 14:00:00,1.0907048463707036
112,49,2021-07-05 15:00:00,0.37522374517023943
113,49,2021-07-05 16:00:00,0.5032067735915227
114,49,2021-07-05 17:00:00,0.2511926125643441
115,49,2021-07-05 18:00:00,0.18329217787886262
116,49,2021-07-05 19:00:00,0.5808795414735295
117,49,2021-07-05 20:00:00,0.5187288267395037
118,49,2021-07-05 21:00:00,0.4806646464715868
119,49,2021-07-05 22:00:00,0.4081624262955226
120,49,2021-07-05 23:00:00,0.2260468713801241
121,49,2021-07-06 00:00:00,0.163424620100668
122,49,2021-07-06 01:00:00,0.1603980289449891
123,49,2021-07-06 02:00:00,0.16501130761943433
124,49,2021-07-06 03:00:00,0.15947365113245562
125,49,2021-07-06 04:00:00,0.1452882211193823
126,49,2021-07-06 05:00:00,0.15511193206652024
127,49,2021-07-06 06:00:00,0.5907682279719572
128,49,2021-07-06 07:00:00,0.541
129,49,2021-07-06 08:00:00,0.4703337653820139
130,49,2021-07-06 09:00:00,0.5444941186578491
131,49,2021-07-06 10:00:00,0.6524841526928216
132,49,2021-07-06 11:00:00,0.8258608708313588
133,49,2021-07-06 12:00:00,0.5088252730018687
134,49,2021-07-06 13:00:00,0.4251523688929668
135,49,2021-07-06 14:00:00,0.7408630225608779
136,49,2021-07-06 15:00:00,0.4555752313674531
137,49,2021-07-06 16:00:00,0.18965798544916473
138,49,2021-07-06 17:00:00,0.26238755007243364
139,49,2021-07-06 18:00:00,0.2952856102480738
140,49,2021-07-06 19:00:00,0.4177345050925058
141,49,2021-07-06 20:00:00,0.3358141547863378
142,49,2021-07-06 21:00:00,0.6066395344688141
143,49,2021-07-06 22:00:00,0.2718511610172909
144,49,2021-07-06 23:00:00,0.2372607659594034
145,49,2021-07-07 00:00:00,0.1312136670184379
146,49,2021-07-07 01:00:00,0.13732782605217764
147,49,2021-07-07 02:00:00,0.1129294225912415
148,49,2021-07-07 03:00:00,0.11037621968059591
149,49,2021-07-07 04:00:00,0.1229456983910745
150,49,2021-07-07 05:00:00,0.13378682606794712
151,49,2021-07-07 06:00:00,0.23744525458335533
152,49,2021-07-07 07:00:00,0.22019151750437926
153,49,2021-07-07 08:00:00,0.26254666684344397
154,49,2021-07-07 09:00:00,0.5167827766569775
155,49,2021-07-07 10:00:00,0.5943876415663821
156,49,2021-07-07 11:00:00,0.7483209046685626
157,49,2021-07-07 12:00:00,0.4038283725830613
158,49,2021-07-07 13:00:00,0.2832314850132109
159,49,2021-07-07 14:00:00,0.2478278596397427
160,49,2021-07-07 15:00:00,0.277527017445499
161,49,2021-07-07 16:00:00,0.1845172368592869
162,49,2021-07-07 17:00:00,0.23561833331086451
163,49,2021-07-07 18:00:00,0.48283479254039813
164,49,2021-07-07 19:00:00,0.4955379239591968
165,49,2021-07-07 20:00:00,0.694174535692474
166,49,2021-07-07 21:00:00,0.5623991494135321
167,49,2021-07-07 22:00:00,0.4171256426034772
168,49,2021-07-07 23:00:00,0.17932134488907517
169,49,2021-07-08 00:00:00,0.16434494797710425
170,49,2021-07-08 01:00:00,0.16677296643901496
171,49,2021-07-08 02:00:00,0.16551361783766225
172,49,2021-07-08 03:00:00,0.15336350323863732
173,49,2021-07-08 04:00:00,0.1379297039334455
174,49,2021-07-08 05:00:00,0.13468116081621134
175,49,2021-07-08 06:00:00,0.15882881390434175
176,49,2021-07-08 07:00:00,0.1892325711767612
177,49,2021-07-08 08:00:00,0.21408944848751119
178,49,2021-07-08 09:00:00,0.22696997990097498
179,49,2021-07-08 10:00:00,0.2729735146003822
180,49,2021-07-08 11:00:00,0.6138961728048417
181,49,2021-07-08 12:00:00,0.7213573327839674
182,49,2021-07-08 13:00:00,0.17841771797039252
183,49,2021-07-08 14:00:00,0.7185592413027294
184,49,2021-07-08 15:00:00,0.7226676920483277
185,49,2021-07-08 16:00:00,0.19267311094373352
186,49,2021-07-08 17:00:00,0.14352093738123387
187,49,2021-07-08 18:00:00,0.3432927958008533
188,49,2021-07-08 19:00:00,0.5389204850973652
189,49,2021-07-08 20:00:00,0.4728763632196438
190,49,2021-07-08 21:00:00,0.24922780386287385
191,49,2021-07-08 22:00:00,0.22934955563548423
192,49,2021-07-08 23:00:00,0.22720099504591024
193,49,2021-07-09 00:00:00,0.15924898095010318
194,49,2021-07-09 01:00:00,0.17932078138091312
195,49,2021-07-09 02:00:00,0.1767942306956376
