ENERTSTAMP,ID_ENERGY_BUYER,ASSIGNED_ENERGY_VALUE,ID_ENERGY_SELLER,TX_HASH
2019-10-31 07:00:00.000000,56,0.159,53,20baf7dd391049041b847bba488f8ea1d017c64314b1ba8fb216407fc53ec9ed    
2019-10-31 08:00:00.000000,56,0.208,53,57d5c7b3518da52ad5db5216bf94b1d4845d3d524eddec64c2b231ddb518b8cd    
2019-10-31 09:00:00.000000,56,0.354,53,4fe97cf91d26fb04c53c12ea8c697a1e86fe9d2c6d795a13cdf5b02e7cde3dfd    
2019-10-31 10:00:00.000000,56,0.28,53,64d76100803c486d9adfe0640f294fd058d8f9cfed207a927cd401259b267161    
2019-10-31 11:00:00.000000,56,0.22,53,9d38aa8a610c7d239c70b595c9d15ecacb8e1c688a50df8980f9cf8686386586    
2019-10-31 12:00:00.000000,56,0.49,53,408d918f364ef2a513cc227716ba5cbcf9cef8c27f5223d39cadc0b3f0b15670    
2019-10-31 13:00:00.000000,56,0.274,53,346cf3752b6d8815e2436e53e61fd995d1326e16ac336c8b39b5993b6fc86ab9    
2019-10-31 14:00:00.000000,56,0.448,53,03e165fdcf8e3d9843293129def12bc189d01831d7455d864b15edd7b0d5ae37    
2019-10-31 15:00:00.000000,56,0.599,53,7db263a8f9fc941a0241d08a66fa52006ab1f04c932f3fd3813c1745aba889ea    
2019-10-31 16:00:00.000000,56,0.319,53,3e52f9c9a8e09b24ddfbf4b92c43304dfca2366df2c7dc08454e2136744a2a4b    
2019-10-31 17:00:00.000000,56,0.112,53,7a64d3945f54afdb2b50020d592bd9efe8f842a7563f0ef1b77e88bcbf55a8f1    
2019-11-01 07:00:00.000000,56,0.1,53,3e3eb87b211ba1af089a87999b6a62b32123607a822a44b1182a94477cd04cf4    
2019-11-01 08:00:00.000000,56,0.599,53,9b6f00f1c17523cf9f6b30e7089e6a5830b2f31764cf9b929f68b55795a3e711    
2019-11-01 09:00:00.000000,56,0.386,53,a671abf92df16700bf6ed7704db456d535d034b702a406385f27d9b08f944db4    
2019-11-01 10:00:00.000000,56,0.403,53,e92ff2f4982ffdefd5b37f4746e5e42d4e355acdeda3487132d7156e118ffebb    
2019-11-01 11:00:00.000000,56,0.22,53,858eb4f1a3b1902722d3572fe38a2d94312ecdd83c8dfd6f517a3b7ae803c083    
2019-11-01 12:00:00.000000,56,0.264,53,eeef541826e785a232e754e90ea5947308151bd3fe874b3083f93fa605152dd7    
2019-11-01 13:00:00.000000,56,0.28,53,4fa39b56c8f6a946c33a935206a2ad9a251939f17dbe0a35932e6dbb89fb2cb1    
2019-11-01 14:00:00.000000,56,0.266,53,ceea88d6149431dd8ea61c78492cff549a06548a99a5718aa35d737c0b706172    
2019-11-01 15:00:00.000000,56,0.301,53,c0cf57495cda5b9df01476ed8503c8e3742b74dca7919bc3f63fea193304e684    
2019-11-02 08:00:00.000000,56,0.75,53,f841dec285f4bc54e271d09ca1926f73948ad8c4b6384d87090d368b51f7e9cc    
2019-11-02 09:00:00.000000,56,0.435,53,65e6500904b19ce56817bd8904a9ba34212ffc95020106ebe5d2ac488ff18eaf    
2019-11-02 10:00:00.000000,56,0.466,53,023a4f0271fe1c93821aaf9f31d60272e1d379314fbe2b86a58fb8e56f241b91    
2019-11-02 11:00:00.000000,56,0.222,53,a84948eabaa803894b7744d861ea908a895877453a6e151c75bc4d13d4204aeb    
2019-11-02 12:00:00.000000,56,0.314,53,046a1db0c0bebc629bc8c74d04c2ca8e961c698abae05a1b5399f91cb80698af    
2019-11-02 13:00:00.000000,56,0.408,53,0015f5185c2f1f0e1fb43e931be6187cd09bb7848195d82fbfc9756cbfde9ebe    
2019-11-02 14:00:00.000000,56,0.298,53,bd70dc86b9d7712e727c7912274d72dd57fde5acb013126007d99a5d93909523    
2019-11-02 15:00:00.000000,56,0.155,53,febb869b6008904063c5abbb535679dd580209e438e8919723769ebb4d602136    
2019-11-03 09:00:00.000000,56,0.391,53,ed44daed9b38688d3bde2ead965856f2cdaec532aaf09a274f74247176818cef    
2019-11-03 10:00:00.000000,56,0.248,53,ad2a932558ef5fa1faa5d330859f966385ac3f89b2bb46e0efaa2ec4ed400a84    
2019-11-03 11:00:00.000000,56,0.297,53,19881c7c5957437aad149773ccbfc7f65ea68cbbf5f5433a0687667ca9af10a0    
2019-11-03 12:00:00.000000,56,0.307,53,42e7553fef9a193723ef7dac2161023e67081c363236e76db65d3609893fe906    
2019-11-03 13:00:00.000000,56,0.363,53,4cba37207e0e2274a1e19094cfc436edd56e534f9d09138ee86956edde5e42e0    
2019-11-04 07:00:00.000000,56,0.153,53,a79e45d93774df3fefb0ffd3ac60181b77b29b29421508e8f72b82ca7202e47a    
2019-11-04 08:00:00.000000,56,0.556,53,b7263c966e41ee0fb779fb199e07fd2b9d99d5f4785a375fd7fd138a3b234d8a    
2019-11-04 09:00:00.000000,56,0.248,53,3706f561d21edd30211383e50e85301a89c44434aaaf3928165a8c1ebbfb9036    
2019-11-04 10:00:00.000000,56,0.256,53,70ac940d2aadece1552c8fc51b29c8cb62ae57f4e4dc2edc17d6d7ed41d5f45a    
2019-11-04 11:00:00.000000,56,0.22,53,d0f9b974fb5caf458a10b1919fc9f0a0bd080c7330e2434fbb15e0aa7c4b3f5c    
2019-11-04 12:00:00.000000,56,0.21,53,2b8fb3927dfb3d6e2acfe663f9c1024153bd3c5c73cd3389fc778967ec81b3e9    
2019-11-04 13:00:00.000000,56,0.142,53,088a744821041c090339896d4376fe5a771630a7f2f8fff0a2977e688739ec07    
