ID_ADDRESS,ENERTSTAMP,GENERATION_kWh
61,2020-02-11 13:00:00.000000,6.813
62,2020-02-11 13:00:00.000000,1.533
61,2020-02-11 15:00:00.000000,6.594
62,2020-02-11 15:00:00.000000,1.271
61,2020-02-11 16:00:00.000000,5.024
62,2020-02-11 16:00:00.000000,1
61,2020-02-11 17:00:00.000000,2.669
62,2020-02-11 17:00:00.000000,0.538
61,2020-02-11 18:00:00.000000,0.496
62,2020-02-11 18:00:00.000000,0.098
61,2020-02-11 19:00:00.000000,0.007
62,2020-02-11 19:00:00.000000,0.001
61,2020-02-11 20:00:00.000000,0
62,2020-02-11 20:00:00.000000,0
61,2020-02-11 21:00:00.000000,0
62,2020-02-11 21:00:00.000000,0
61,2020-02-11 22:00:00.000000,0
62,2020-02-11 22:00:00.000000,0
61,2020-02-11 23:00:00.000000,0
62,2020-02-11 23:00:00.000000,0
61,2020-02-12 00:00:00.000000,0
62,2020-02-12 00:00:00.000000,0
61,2020-02-12 01:00:00.000000,0
62,2020-02-12 01:00:00.000000,0
61,2020-02-12 02:00:00.000000,0
62,2020-02-12 02:00:00.000000,0
61,2020-02-12 03:00:00.000000,0
62,2020-02-12 03:00:00.000000,0
61,2020-02-12 04:00:00.000000,0
62,2020-02-12 04:00:00.000000,0
61,2020-02-12 05:00:00.000000,0
62,2020-02-12 05:00:00.000000,0
61,2020-02-12 06:00:00.000000,0
62,2020-02-12 06:00:00.000000,0
61,2020-02-12 07:00:00.000000,0.236
62,2020-02-12 07:00:00.000000,0.033
61,2020-02-12 08:00:00.000000,2.211
62,2020-02-12 08:00:00.000000,0.234
61,2020-02-12 09:00:00.000000,2.35
62,2020-02-12 09:00:00.000000,0.373
61,2020-02-12 10:00:00.000000,1.731
62,2020-02-12 10:00:00.000000,0.289
61,2020-02-12 11:00:00.000000,5.122
62,2020-02-12 11:00:00.000000,0.873
61,2020-02-12 12:00:00.000000,6.392
62,2020-02-12 12:00:00.000000,1.443
61,2020-02-12 13:00:00.000000,6.69
62,2020-02-12 13:00:00.000000,1.349
61,2020-02-12 14:00:00.000000,6.705
62,2020-02-12 14:00:00.000000,1.311
61,2020-02-12 15:00:00.000000,6.482
62,2020-02-12 15:00:00.000000,1.299
61,2020-02-12 16:00:00.000000,3.426
62,2020-02-12 16:00:00.000000,0.695
61,2020-02-12 17:00:00.000000,1.902
62,2020-02-12 17:00:00.000000,0.339
61,2020-02-12 18:00:00.000000,0.676
62,2020-02-12 18:00:00.000000,0.126
61,2020-02-12 19:00:00.000000,0.017
62,2020-02-12 19:00:00.000000,0.002
61,2020-02-12 20:00:00.000000,0
62,2020-02-12 20:00:00.000000,0
61,2020-02-12 21:00:00.000000,0
62,2020-02-12 21:00:00.000000,0
61,2020-02-12 22:00:00.000000,0
62,2020-02-12 22:00:00.000000,0
61,2020-02-12 23:00:00.000000,0
62,2020-02-12 23:00:00.000000,0
61,2020-02-13 00:00:00.000000,0
62,2020-02-13 00:00:00.000000,0
61,2020-02-13 01:00:00.000000,0
62,2020-02-13 01:00:00.000000,0
61,2020-02-13 08:00:00.000000,0.94
62,2020-02-13 08:00:00.000000,0.121
61,2020-02-13 09:00:00.000000,1.181
